,id,이름,class_id
0,101000001,데이비드 시먼,101
1,101000195,로비 파울러,101
2,101000240,로이 킨,101
3,101000244,게리 네빌,101
4,101000246,폴 스콜스,101
5,101000250,데이비드 베컴,101
6,101000388,솔 캠벨,101
7,101000393,테디 셰링엄,101
8,101000570,제이-제이 오코차,101
9,101000805,옌스 레만,101
10,101000942,크리스티안 비에리,101
11,101001025,후이 코스타,101
12,101001040,호베르투 카를루스,101
13,101001041,하비에르 사네티,101
14,101001075,A. 델피에로,101
15,101001088,알레산드로 네스타,101
16,101001109,파올로 말디니,101
17,101001114,로베르토 바조,101
18,101001116,마르셀 드사이,101
19,101001183,파비오 칸나바로,101
20,101001198,필리포 인자기,101
21,101001201,잔프랑코 졸라,101
22,101001256,클라렌스 세이도르프,101
23,101001397,지네딘 지단,101
24,101001419,파트리크 비에이라,101
25,101001605,로베르 피레스,101
26,101001620,에마뉘엘 프티,101
27,101001625,티에리 앙리,101
28,101001668,클로드 마켈렐레,101
29,101001845,올레 군나르 솔샤르,101
30,101003647,미하엘 발락,101
31,101004000,데니스 베르캄프,101
32,101004202,젠나로 가투소,101
33,101004231,히바우두,101
34,101004833,H. 스토이치코프,101
35,101005003,카푸,101
36,101005099,잔루카 잠브로타,101
37,101005419,마이클 오언,101
38,101005467,제이미 캐러거,101
39,101005471,프랭크 램파드,101
40,101005479,카시야스,101
41,101005673,야리 리트마넨,101
42,101005680,P. 클라위베르트,101
43,101005681,M. 오베르마르스,101
44,101005984,다비드 트레제게,101
45,101006235,파벨 네드베드,101
46,101006975,프레디 융베리,101
47,101007289,리오 퍼디난드,101
48,101007512,에르난 크레스포,101
49,101007518,베론,101
50,101007763,안드레아 피를로,101
51,101007826,로빈 반페르시,101
52,101009676,사뮈엘 에토,101
53,101010535,차비,101
54,101013038,카를레스 푸욜,101
55,101013383,나카타 히데토시,101
56,101013743,스티븐 제라드,101
57,101020170,비토르 바이아,101
58,101023174,리켈메,101
59,101028130,호나우지뉴,101
60,101031432,디디에 드로그바,101
61,101034079,애슐리 콜,101
62,101037576,호나우두,101
63,101039943,박지성,101
64,101045661,라울,101
65,101045674,마이클 에시앙,101
66,101046747,알렉시 랄라스,101
67,101048940,페트르 체흐,101
68,101049369,페르난도 토레스,101
69,101051539,에드윈 반데르사르,101
70,101052241,헨릭 라르손,101
71,101053769,데쿠,101
72,101054050,웨인 루니,101
73,101117106,파울레타,101
74,101121939,필립 람,101
75,101121944,B. 슈바인슈타이거,101
76,101138449,카카,101
77,101140601,네마냐 비디치,101
78,101156353,루이스 에르난데스,101
79,101161840,페르난도 이에로,101
80,101166120,안드레아스 브레메,101
81,101166124,게오르게 하지,101
82,101166149,우고 산체스,101
83,101167135,카를루스 아우베르투,101
84,101167198,에릭 칸토나,101
85,101167680,로날트 쿠만,101
86,101177845,프랑크 더부르,101
87,101190045,요한 크루이프,101
88,101190046,소크라테스,101
89,101190053,페터 슈마이켈,101
90,101191208,차범근,101
91,101191695,부트라게뇨,101
92,101214098,프랑크 레이카르트,101
