,id,name
0,101,ICON 
1,201,NHD 
2,202,TKI 
3,206,TB 
4,207,TT 
5,210,GR 
6,211,19 TOTY 
7,203,18 TOTY 
8,213,Man City ICON 
9,214,TC 
10,215,19 TOTS 
11,216,HOT 
12,217,COC 
13,218,OTW 
14,219,19NG 
15,220,20 TOTY 
16,221,19 UCL 
17,222,20 TOTN 
18,225,TKL 
19,230,20 TOTS 
20,231,VTR 
21,233,MOG 
22,224,LH 
23,236,LA 
24,237,MC 
25,238,20NG 
26,239,20KLB 
27,240,21 TOTY 
28,241,21 TOTN 
29,242,20 UCL 
30,246,UP 
31,247,2012 KH 
32,249,NTG 
33,250,21 TOTS 
34,251,EBS 
35,252,CAP 
36,253,BOE21 
37,254,CFA 
38,256,BTB 
39,257,21KLB 
40,258,22 TOTY 
41,259,22 TOTN 
42,260,21 UCL 
43,261,22HR 
44,262,21NG 
45,264,FA 
46,265,LOL 
47,294,21 KFA 
48,295,19 KFA 
49,297,MCFC 
50,298,18 KFA 
51,300,21 LIVE 
52,317,17 LIVE 
53,318,18 LIVE 
54,319,19 LIVE 
55,320,20 LIVE 
56,500,18 PLC–A 
57,501,18 PLC–S 
58,502,19 PLC–A 
59,503,19 PLC–S 
60,504,20KLeague 
61,506,20 PL 
62,507,21KLeague 
63,508,21 PL 
64,510,22KLeague 
