,name,class_id,label,evalution,class_name
0,A. 그랑크비스트,224,-1.0,4,LH 
1,A. 단주마,260,-1.0,4,21 UCL 
2,A. 델피에로,101,0.81,2,ICON 
3,A. 델피에로,201,0.85,2,NHD 
4,A. 델피에로,207,0.82,2,TT 
5,A. 델피에로,214,-1.0,4,TC 
6,A. 델피에로,216,-1.0,4,HOT 
7,A. 델피에로,224,-1.0,4,LH 
8,A. 델피에로,251,-1.0,4,EBS 
9,A. 델피에로,252,-1.0,4,CAP 
10,A. 델피에로,256,-1.0,4,BTB 
11,A. 드라고비치,224,-1.0,4,LH 
12,A. 디 나탈레,261,-1.0,4,22HR 
13,A. 디아만티,231,-1.0,4,VTR 
14,A. 디아만티,251,-1.0,4,EBS 
15,A. 르텔리에,242,-1.0,4,20 UCL 
16,A. 마리아파,216,-1.0,4,HOT 
17,A. 메이틀랜드-나일스,238,-1.0,4,20NG 
18,A. 모스토보이,261,-1.0,4,22HR 
19,A. 무리치,297,-1.0,4,MCFC 
20,A. 미트로비치,210,-1.0,4,GR 
21,A. 미트로비치,224,-1.0,4,LH 
22,A. 밀리크,207,1.0,3,TT 
23,A. 밀리크,210,-1.0,4,GR 
24,A. 밀리크,221,-1.0,4,19 UCL 
25,A. 밀리크,251,-1.0,4,EBS 
26,A. 바스토니,219,-1.0,4,19NG 
27,A. 바스토니,253,-1.0,4,BOE21 
28,A. 브랑크스,238,-1.0,4,20NG 
29,A. 사나브리아,210,-1.0,4,GR 
30,A. 사마리스,237,-1.0,4,MC 
31,A. 사마리스,246,-1.0,4,UP 
32,A. 살레마커르스,262,-1.0,4,21NG 
33,A. 쇨로트,242,-1.0,4,20 UCL 
34,A. 엘 카우타리,233,-1.0,4,MOG 
35,A. 엘랑가,260,-1.0,4,21 UCL 
36,A. 엘카야티,215,-1.0,4,19 TOTS 
37,A. 옝제이치크,251,-1.0,4,EBS 
38,A. 오나나,260,-1.0,4,21 UCL 
39,A. 옥스-체임벌린,201,1.0,3,NHD 
40,A. 옥스-체임벌린,206,0.59,1,TB 
41,A. 옥스-체임벌린,207,0.77,2,TT 
42,A. 옥스-체임벌린,210,0.9,3,GR 
43,A. 옥스-체임벌린,214,-1.0,4,TC 
44,A. 옥스-체임벌린,221,-1.0,4,19 UCL 
45,A. 옥스-체임벌린,242,-1.0,4,20 UCL 
46,A. 옥스-체임벌린,246,-1.0,4,UP 
47,A. 옥스-체임벌린,251,-1.0,4,EBS 
48,A. 옥스-체임벌린,260,-1.0,4,21 UCL 
49,A. 올센,238,-1.0,4,20NG 
50,A. 주니어 트라오레,238,-1.0,4,20NG 
51,A. 지냐크,231,-1.0,4,VTR 
52,A. 지냐크,251,-1.0,4,EBS 
53,A. 지브코비치,206,1.0,3,TB 
54,A. 지브코비치,210,-1.0,4,GR 
55,A. 추아메니,250,-1.0,4,21 TOTS 
56,A. 추아메니,262,-1.0,4,21NG 
57,A. 코르넬리우스,253,-1.0,4,BOE21 
58,A. 코르다츠,260,-1.0,4,21 UCL 
59,A. 콜라로프,201,1.0,3,NHD 
60,A. 콜라로프,206,1.0,3,TB 
61,A. 콜라로프,207,0.67,1,TT 
62,A. 콜라로프,214,-1.0,4,TC 
63,A. 콜라로프,224,-1.0,4,LH 
64,A. 콜라로프,231,-1.0,4,VTR 
65,A. 콜라로프,233,-1.0,4,MOG 
66,A. 콜라로프,246,-1.0,4,UP 
67,A. 크나우프,242,-1.0,4,20 UCL 
68,A. 크라마리치,207,0.67,1,TT 
69,A. 크라마리치,241,-1.0,4,21 TOTN 
70,A. 크라마리치,250,-1.0,4,21 TOTS 
71,A. 크라마리치,253,-1.0,4,BOE21 
72,A. 크리스텐센,206,0.56,1,TB 
73,A. 크리스텐센,210,-1.0,4,GR 
74,A. 크리스텐센,242,-1.0,4,20 UCL 
75,A. 크리스텐센,253,-1.0,4,BOE21 
76,A. 크리스텐센,260,-1.0,4,21 UCL 
77,A. 클로드-모리스,219,-1.0,4,19NG 
78,A. 플로렌치,206,0.87,2,TB 
79,A. 플로렌치,214,-1.0,4,TC 
80,A. 플로렌치,216,-1.0,4,HOT 
81,A. 플로렌치,221,-1.0,4,19 UCL 
82,A. 플로렌치,242,-1.0,4,20 UCL 
83,A. 플로렌치,251,-1.0,4,EBS 
84,A. 플로렌치,253,-1.0,4,BOE21 
85,B. 람셀라르,246,-1.0,4,UP 
86,B. 마르팅스 인디,210,0.67,1,GR 
87,B. 바디아실,262,-1.0,4,21NG 
88,B. 바샤츠콜루,246,-1.0,4,UP 
89,B. 베레신스키,206,0.63,1,TB 
90,B. 슈바인슈타이거,101,0.75,2,ICON 
91,B. 슈바인슈타이거,214,-1.0,4,TC 
92,B. 슈바인슈타이거,251,-1.0,4,EBS 
93,B. 슈바인슈타이거,256,-1.0,4,BTB 
94,B. 아수-에코토,201,1.0,3,NHD 
95,B. 음뵈모,238,-1.0,4,20NG 
96,B. 쿠메티오,242,-1.0,4,20 UCL 
97,C. 뇌르고르,253,-1.0,4,BOE21 
98,C. 마르키시오,201,0.94,3,NHD 
99,C. 마르키시오,206,0.8,2,TB 
100,C. 서푸나루,246,-1.0,4,UP 
101,C. 스투아니,216,-1.0,4,HOT 
102,C. 아르쿠스,217,-1.0,4,COC 
103,C. 은쿤쿠,210,-1.0,4,GR 
104,C. 은쿤쿠,219,-1.0,4,19NG 
105,C. 은쿤쿠,221,-1.0,4,19 UCL 
106,C. 은쿤쿠,230,-1.0,4,20 TOTS 
107,C. 은쿤쿠,242,-1.0,4,20 UCL 
108,C. 은쿤쿠,246,-1.0,4,UP 
109,C. 은쿤쿠,256,-1.0,4,BTB 
110,C. 이스키에르도스,252,-1.0,4,CAP 
111,C. 카터-비커스,210,-1.0,4,GR 
112,C. 터터루샤누,221,-1.0,4,19 UCL 
113,C. 터터루샤누,224,-1.0,4,LH 
114,C. 파머,242,-1.0,4,20 UCL 
115,C. 파머,260,-1.0,4,21 UCL 
116,C. 파스나히트,253,-1.0,4,BOE21 
117,C. 피치니,206,0.0,0,TB 
118,C. 허드슨-오도이,219,-1.0,4,19NG 
119,C. 허드슨-오도이,221,-1.0,4,19 UCL 
120,C. 허드슨-오도이,242,-1.0,4,20 UCL 
121,C. 허드슨-오도이,260,-1.0,4,21 UCL 
122,C. 험프리스-그랜트,297,-1.0,4,MCFC 
123,D. 듀헤이니,297,-1.0,4,MCFC 
124,D. 렌스,260,-1.0,4,21 UCL 
125,D. 리바코비치,253,-1.0,4,BOE21 
126,D. 밀리토,261,-1.0,4,22HR 
127,D. 브라다리치,238,-1.0,4,20NG 
128,D. 사마세쿠,218,-1.0,4,OTW 
129,D. 소보슬러이,219,-1.0,4,19NG 
130,D. 소보슬러이,242,-1.0,4,20 UCL 
131,D. 오파레이,201,0.69,1,NHD 
132,D. 음보카니,231,-1.0,4,VTR 
133,D. 지놀라,261,-1.0,4,22HR 
134,D. 츠비타니치,237,-1.0,4,MC 
135,D. 치그린스키,207,1.0,3,TT 
136,D. 치그린스키,237,-1.0,4,MC 
137,D. 카를루스,230,-1.0,4,20 TOTS 
138,D. 카를루스,242,-1.0,4,20 UCL 
139,D. 칼버트-르윈,253,-1.0,4,BOE21 
140,E. 마르티네스,250,-1.0,4,21 TOTS 
141,E. 마르티네스,259,-1.0,4,22 TOTN 
142,E. 바르가스,217,-1.0,4,COC 
143,E. 바르가스,224,-1.0,4,LH 
144,E. 스미스 로,262,-1.0,4,21NG 
145,E. 아데바요르,214,-1.0,4,TC 
146,E. 자케리니,231,-1.0,4,VTR 
147,E. 자케리니,246,-1.0,4,UP 
148,E. 추포-모팅,221,-1.0,4,19 UCL 
149,E. 추포-모팅,242,-1.0,4,20 UCL 
150,E. 추포-모팅,246,-1.0,4,UP 
151,E. 추포-모팅,256,-1.0,4,BTB 
152,E. 추포-모팅,260,-1.0,4,21 UCL 
153,E. 추포-모팅,264,-1.0,4,FA 
154,E. 카마빙가,238,-1.0,4,20NG 
155,E. 카마빙가,260,-1.0,4,21 UCL 
156,E. 팔라시오스,238,-1.0,4,20NG 
157,E. 페르난데스,217,-1.0,4,COC 
158,F. 노이하우스,219,-1.0,4,19NG 
159,F. 노이하우스,242,-1.0,4,20 UCL 
160,F. 니더레흐너,230,-1.0,4,20 TOTS 
161,F. 디마르코,260,-1.0,4,21 UCL 
162,F. 로시,242,-1.0,4,20 UCL 
163,F. 마냐넬리,216,-1.0,4,HOT 
164,F. 베르나르데스키,206,1.0,3,TB 
165,F. 베르나르데스키,207,1.0,3,TT 
166,F. 베르나르데스키,210,-1.0,4,GR 
167,F. 베르나르데스키,221,-1.0,4,19 UCL 
168,F. 베르나르데스키,246,-1.0,4,UP 
169,F. 베르나르데스키,253,-1.0,4,BOE21 
170,F. 베르나르데스키,256,-1.0,4,BTB 
171,F. 베르나르데스키,260,-1.0,4,21 UCL 
172,F. 벨루치,237,-1.0,4,MC 
173,F. 벨루치,246,-1.0,4,UP 
174,F. 비르츠,259,-1.0,4,22 TOTN 
